tier,defense,scheme,q_attack_frac,tpr_mean,tpr_ci95,inversion_rate,edge_evasion_rate,op_count,cost_vs_T1,complexity,measured_threshold_z,forge,w_m,m
V0T,D1_RF,T4_EigenTrust,0.6,0.425,0.057689,0.0,0.0,11400,1628.57,O(iters * E),2.1638,0.0,,
V0T,D1_RF,T_meanvar_z,0.6,1.0,0.0,0.0,0.0,18,2.57,O(k),2.1638,0.0,,
V1,D1_RF,T1_mean,0.6,0.99,0.007797,0.0,0.0,7,1.0,O(k),2.1638,,0.4,0.1983
V1,D1_RF,T2_SL,0.6,0.99,0.007797,0.0,0.0,20,2.86,O(k),2.1638,,0.4,0.1983
V1,D1_RF,T3_Beta,0.6,0.99,0.007797,0.0,0.0,20,2.86,O(k),2.1638,,0.4,0.1983
V1,D1_RF,T5_TFLDT,0.6,0.986667,0.008907,0.0,0.0,20,2.86,O(k + deg),2.1638,,0.4,0.1983
V1,D1_RF,T_max,0.6,0.988333,0.008377,0.0,0.0,6,0.86,O(k),2.1638,,0.4,0.1983
V1,D1_RF,T_median,0.6,0.971667,0.013972,0.0,0.0,16,2.29,O(k log k),2.1638,,0.4,0.1983
V1,D1_RF,T4_EigenTrust,0.6,0.531667,0.055073,0.0,0.0,11400,1628.57,O(iters * E),2.1638,,0.4,0.1983
V1,D1_RF,T_meanvar_z,0.6,0.99,0.007797,0.0,0.0,18,2.57,O(k),2.1638,,0.4,0.1983
V1T,D1_RF,T1_mean,0.6,1.0,0.0,0.0,0.0,7,1.0,O(k),2.1638,,0.4,0.6439
V1T,D1_RF,T2_SL,0.6,1.0,0.0,0.0,0.0,20,2.86,O(k),2.1638,,0.4,0.6439
V1T,D1_RF,T3_Beta,0.6,1.0,0.0,0.0,0.0,20,2.86,O(k),2.1638,,0.4,0.6439
V1T,D1_RF,T5_TFLDT,0.6,1.0,0.0,0.0,0.0,20,2.86,O(k + deg),2.1638,,0.4,0.6439
V1T,D1_RF,T_max,0.6,0.998333,0.003267,0.0,0.0,6,0.86,O(k),2.1638,,0.4,0.6439
V1T,D1_RF,T_median,0.6,1.0,0.0,0.0,0.0,16,2.29,O(k log k),2.1638,,0.4,0.6439
V1T,D1_RF,T4_EigenTrust,0.6,0.728333,0.055066,0.0,0.0,11400,1628.57,O(iters * E),2.1638,,0.4,0.6439
V1T,D1_RF,T_meanvar_z,0.6,0.998333,0.003267,0.0,0.0,18,2.57,O(k),2.1638,,0.4,0.6439
V0,D1_RF,T1_mean,0.7,1.0,0.0,0.0,0.0,7,1.0,O(k),2.1638,0.0,,
V0,D1_RF,T2_SL,0.7,1.0,0.0,0.0,0.0,20,2.86,O(k),2.1638,0.0,,
V0,D1_RF,T3_Beta,0.7,1.0,0.0,0.0,0.0,20,2.86,O(k),2.1638,0.0,,
V0,D1_RF,T5_TFLDT,0.7,1.0,0.0,0.0,0.0,20,2.86,O(k + deg),2.1638,0.0,,
V0,D1_RF,T_max,0.7,1.0,0.0,0.0,0.0,6,0.86,O(k),2.1638,0.0,,
V0,D1_RF,T_median,0.7,1.0,0.0,0.0,0.0,16,2.29,O(k log k),2.1638,0.0,,
V0,D1_RF,T4_EigenTrust,0.7,0.568333,0.059114,0.0,0.0,11400,1628.57,O(iters * E),2.1638,0.0,,
V0,D1_RF,T_meanvar_z,0.7,1.0,0.0,0.0,0.0,18,2.57,O(k),2.1638,0.0,,
V0T,D1_RF,T1_mean,0.7,1.0,0.0,0.0,0.0,7,1.0,O(k),2.1638,0.0,,
V0T,D1_RF,T2_SL,0.7,1.0,0.0,0.0,0.0,20,2.86,O(k),2.1638,0.0,,
V0T,D1_RF,T3_Beta,0.7,1.0,0.0,0.0,0.0,20,2.86,O(k),2.1638,0.0,,
V0T,D1_RF,T5_TFLDT,0.7,1.0,0.0,0.0,0.0,20,2.86,O(k + deg),2.1638,0.0,,
V0T,D1_RF,T_max,0.7,1.0,0.0,0.0,0.0,6,0.86,O(k),2.1638,0.0,,
V0T,D1_RF,T_median,0.7,1.0,0.0,0.0,0.0,16,2.29,O(k log k),2.1638,0.0,,
V0T,D1_RF,T4_EigenTrust,0.7,0.568333,0.059114,0.0,0.0,11400,1628.57,O(iters * E),2.1638,0.0,,
V0T,D1_RF,T_meanvar_z,0.7,1.0,0.0,0.0,0.0,18,2.57,O(k),2.1638,0.0,,
V1,D1_RF,T1_mean,0.7,0.993333,0.006434,0.0,0.0,7,1.0,O(k),2.1638,,0.3,0.1093
V1,D1_RF,T2_SL,0.7,0.993333,0.006434,0.0,0.0,20,2.86,O(k),2.1638,,0.3,0.1093
V1,D1_RF,T3_Beta,0.7,0.993333,0.006434,0.0,0.0,20,2.86,O(k),2.1638,,0.3,0.1093
V1,D1_RF,T5_TFLDT,0.7,0.988333,0.009577,0.0,0.0,20,2.86,O(k + deg),2.1638,,0.3,0.1093
V1,D1_RF,T_max,0.7,0.99,0.007797,0.0,0.0,6,0.86,O(k),2.1638,,0.3,0.1093
V1,D1_RF,T_median,0.7,0.978333,0.012846,0.0,0.0,16,2.29,O(k log k),2.1638,,0.3,0.1093
V1,D1_RF,T4_EigenTrust,0.7,0.598333,0.05612,0.0,0.0,11400,1628.57,O(iters * E),2.1638,,0.3,0.1093
V1,D1_RF,T_meanvar_z,0.7,0.991667,0.007155,0.0,0.0,18,2.57,O(k),2.1638,,0.3,0.1093
